test_id,label
355,Highway
2257,HerbaceousVegetation
2533,SeaLake
432,PermanentCrop
3637,SeaLake
3296,PermanentCrop
1003,PermanentCrop
2204,SeaLake
4126,Highway
1495,SeaLake
736,Highway
2118,Industrial
266,SeaLake
2660,Residential
521,PermanentCrop
3884,HerbaceousVegetation
1431,Residential
1696,SeaLake
2874,Industrial
1909,SeaLake
111,Highway
427,PermanentCrop
2679,PermanentCrop
1162,Pasture
2104,SeaLake
3432,PermanentCrop
4153,HerbaceousVegetation
1442,HerbaceousVegetation
3635,River
1445,Highway
1296,HerbaceousVegetation
351,HerbaceousVegetation
199,PermanentCrop
2454,HerbaceousVegetation
2089,PermanentCrop
1386,Highway
1886,Pasture
3406,PermanentCrop
856,HerbaceousVegetation
2624,PermanentCrop
3558,SeaLake
1715,PermanentCrop
3168,HerbaceousVegetation
2542,Highway
1201,PermanentCrop
2642,SeaLake
3208,HerbaceousVegetation
3279,SeaLake
3623,PermanentCrop
2011,HerbaceousVegetation
3486,PermanentCrop
2355,HerbaceousVegetation
761,Residential
336,SeaLake
4005,Highway
2738,HerbaceousVegetation
1631,SeaLake
678,Pasture
4204,PermanentCrop
1377,SeaLake
1769,HerbaceousVegetation
1579,River
3972,HerbaceousVegetation
3298,River
2740,PermanentCrop
1997,Industrial
2818,Industrial
2918,PermanentCrop
184,PermanentCrop
2295,PermanentCrop
1212,HerbaceousVegetation
549,HerbaceousVegetation
2402,SeaLake
3249,HerbaceousVegetation
3888,Residential
237,SeaLake
3474,SeaLake
4003,PermanentCrop
3527,SeaLake
4150,HerbaceousVegetation
2279,PermanentCrop
3669,SeaLake
3219,Highway
1722,PermanentCrop
613,HerbaceousVegetation
4007,SeaLake
3514,HerbaceousVegetation
1917,PermanentCrop
1489,River
3415,Residential
79,SeaLake
3799,PermanentCrop
830,Highway
1676,HerbaceousVegetation
501,River
1899,PermanentCrop
2695,PermanentCrop
1522,HerbaceousVegetation
2153,PermanentCrop
3698,Pasture
307,PermanentCrop
2487,PermanentCrop
2931,SeaLake
2208,HerbaceousVegetation
4083,SeaLake
3674,SeaLake
1141,SeaLake
1611,PermanentCrop
3976,SeaLake
3339,SeaLake
1805,Pasture
1786,PermanentCrop
4001,Highway
3840,SeaLake
2635,Pasture
1185,Industrial
854,Highway
2566,SeaLake
3108,PermanentCrop
1298,PermanentCrop
1651,HerbaceousVegetation
115,SeaLake
2963,PermanentCrop
904,HerbaceousVegetation
3696,SeaLake
652,PermanentCrop
2816,Pasture
3686,PermanentCrop
1608,AnnualCrop
3662,PermanentCrop
1369,SeaLake
3782,HerbaceousVegetation
2602,SeaLake
4032,AnnualCrop
3800,PermanentCrop
3537,HerbaceousVegetation
1868,River
674,SeaLake
2468,Highway
2939,HerbaceousVegetation
3672,HerbaceousVegetation
1361,River
2702,Highway
2563,PermanentCrop
1308,Pasture
1831,Residential
2114,River
418,PermanentCrop
2022,River
3426,Highway
4142,Highway
1063,PermanentCrop
2940,SeaLake
1871,HerbaceousVegetation
2902,PermanentCrop
3951,HerbaceousVegetation
338,PermanentCrop
2694,Industrial
558,PermanentCrop
2537,SeaLake
2839,SeaLake
849,Residential
3178,PermanentCrop
3259,HerbaceousVegetation
2884,Highway
290,PermanentCrop
778,PermanentCrop
1158,SeaLake
1459,River
930,Highway
1903,SeaLake
3280,Pasture
3242,PermanentCrop
4037,Highway
2125,PermanentCrop
2219,HerbaceousVegetation
383,Highway
3978,HerbaceousVegetation
505,PermanentCrop
2351,PermanentCrop
3330,HerbaceousVegetation
1869,HerbaceousVegetation
3202,HerbaceousVegetation
871,Residential
3378,PermanentCrop
2165,PermanentCrop
108,SeaLake
1196,SeaLake
3508,Residential
436,HerbaceousVegetation
1181,River
412,Residential
2938,Industrial
2427,SeaLake
299,Residential
1556,PermanentCrop
2315,Residential
2318,SeaLake
1082,PermanentCrop
3937,Industrial
1299,HerbaceousVegetation
2378,HerbaceousVegetation
3329,SeaLake
155,SeaLake
3348,PermanentCrop
2286,Industrial
1331,SeaLake
1048,PermanentCrop
513,River
3863,Highway
2281,Highway
962,Pasture
721,Industrial
3879,PermanentCrop
1305,HerbaceousVegetation
3070,SeaLake
4011,HerbaceousVegetation
3751,SeaLake
929,PermanentCrop
814,SeaLake
2484,Residential
2101,Highway
3567,SeaLake
1450,Highway
3559,River
1920,Industrial
1647,PermanentCrop
1060,Highway
762,PermanentCrop
669,PermanentCrop
1766,HerbaceousVegetation
356,SeaLake
1592,River
3679,Highway
3926,SeaLake
1122,PermanentCrop
2519,PermanentCrop
2270,SeaLake
1334,Industrial
1618,SeaLake
1571,River
3797,HerbaceousVegetation
3902,SeaLake
1896,Highway
3503,HerbaceousVegetation
3574,Pasture
2316,HerbaceousVegetation
511,SeaLake
525,HerbaceousVegetation
1553,HerbaceousVegetation
1726,PermanentCrop
2132,SeaLake
1619,PermanentCrop
3407,PermanentCrop
325,SeaLake
3744,Highway
2117,Highway
2365,HerbaceousVegetation
3159,Highway
829,HerbaceousVegetation
1800,PermanentCrop
3187,PermanentCrop
1428,SeaLake
512,River
220,PermanentCrop
2138,Industrial
1653,Industrial
1748,PermanentCrop
2945,Highway
2982,SeaLake
2231,SeaLake
2548,SeaLake
2334,PermanentCrop
1210,HerbaceousVegetation
2873,HerbaceousVegetation
1946,HerbaceousVegetation
2311,HerbaceousVegetation
779,Highway
1005,SeaLake
102,HerbaceousVegetation
2799,River
3885,Industrial
2148,HerbaceousVegetation
1587,PermanentCrop
519,PermanentCrop
497,Pasture
3757,SeaLake
2009,SeaLake
2488,SeaLake
1104,Highway
3132,Highway
270,SeaLake
4043,SeaLake
1569,Industrial
4028,PermanentCrop
982,PermanentCrop
1407,PermanentCrop
2131,Highway
3547,HerbaceousVegetation
2269,SeaLake
1562,SeaLake
1725,Pasture
4176,HerbaceousVegetation
3427,SeaLake
893,SeaLake
435,SeaLake
947,HerbaceousVegetation
465,SeaLake
599,PermanentCrop
2050,Highway
2312,SeaLake
3927,SeaLake
4115,PermanentCrop
1652,SeaLake
3886,PermanentCrop
3011,PermanentCrop
3777,Highway
1173,PermanentCrop
645,Industrial
3542,Highway
2128,SeaLake
2394,PermanentCrop
1742,Highway
3316,Industrial
1335,Residential
686,PermanentCrop
1292,SeaLake
425,HerbaceousVegetation
3771,SeaLake
1083,HerbaceousVegetation
2709,SeaLake
1633,HerbaceousVegetation
1759,Industrial
4166,PermanentCrop
3209,PermanentCrop
4052,Highway
378,HerbaceousVegetation
3589,SeaLake
1728,PermanentCrop
458,PermanentCrop
3105,PermanentCrop
4196,Highway
2658,HerbaceousVegetation
2157,SeaLake
2910,PermanentCrop
2962,Highway
991,SeaLake
1216,SeaLake
488,SeaLake
720,PermanentCrop
881,HerbaceousVegetation
1914,Industrial
2861,HerbaceousVegetation
1379,PermanentCrop
3923,SeaLake
423,Pasture
2054,SeaLake
2465,Highway
2676,PermanentCrop
3692,SeaLake
3732,SeaLake
948,SeaLake
1785,HerbaceousVegetation
119,PermanentCrop
1821,PermanentCrop
2900,PermanentCrop
