test_id,label
2533,HerbaceousVegetation
1003,PermanentCrop
736,Highway
521,HerbaceousVegetation
2874,Industrial
2679,Highway
4153,HerbaceousVegetation
1296,Highway
2089,HerbaceousVegetation
856,HerbaceousVegetation
3168,Highway
3208,HerbaceousVegetation
3486,PermanentCrop
4005,Highway
4204,Highway
3972,Highway
2818,Industrial
1212,HerbaceousVegetation
3888,Industrial
3527,HerbaceousVegetation
3219,Industrial
3514,Industrial
79,HerbaceousVegetation
501,Highway
2153,HerbaceousVegetation
2931,HerbaceousVegetation
1141,HerbaceousVegetation
1805,PermanentCrop
2635,Industrial
3108,HerbaceousVegetation
2963,HerbaceousVegetation
2816,Residential
1369,HerbaceousVegetation
3800,Highway
2468,Highway
2702,Highway
2114,Highway
4142,Highway
2902,PermanentCrop
558,PermanentCrop
3178,Highway
778,HerbaceousVegetation
1903,HerbaceousVegetation
2125,PermanentCrop
505,Industrial
3202,Highway
108,HerbaceousVegetation
1181,HerbaceousVegetation
299,Highway
1082,HerbaceousVegetation
3329,HerbaceousVegetation
1331,HerbaceousVegetation
2281,HerbaceousVegetation
1305,HerbaceousVegetation
929,HerbaceousVegetation
3567,HerbaceousVegetation
1647,PermanentCrop
1766,HerbaceousVegetation
3926,HerbaceousVegetation
1334,Industrial
3902,HerbaceousVegetation
2316,HerbaceousVegetation
1726,Highway
325,HerbaceousVegetation
3159,Highway
1428,HerbaceousVegetation
1653,Industrial
2231,HerbaceousVegetation
2873,HerbaceousVegetation
1005,HerbaceousVegetation
2148,Industrial
3757,HerbaceousVegetation
3132,Highway
4028,PermanentCrop
3547,HerbaceousVegetation
4176,Industrial
947,HerbaceousVegetation
2312,HerbaceousVegetation
3886,PermanentCrop
645,Industrial
1742,Highway
1292,HerbaceousVegetation
2709,HerbaceousVegetation
3209,PermanentCrop
1728,PermanentCrop
2658,HerbaceousVegetation
991,HerbaceousVegetation
881,HerbaceousVegetation
3923,HerbaceousVegetation
2676,PermanentCrop
1785,HerbaceousVegetation
3290,Highway
624,HerbaceousVegetation
839,Highway
2693,HerbaceousVegetation
3753,Highway
2347,HerbaceousVegetation
3431,HerbaceousVegetation
1044,HerbaceousVegetation
2930,HerbaceousVegetation
3557,PermanentCrop
3677,HerbaceousVegetation
2983,PermanentCrop
459,Residential
2853,Industrial
3520,River
4202,PermanentCrop
3855,Industrial
2177,HerbaceousVegetation
163,Highway
1356,HerbaceousVegetation
3077,Residential
3282,HerbaceousVegetation
2428,Industrial
3595,HerbaceousVegetation
57,Pasture
1956,HerbaceousVegetation
3096,Highway
4042,Highway
3020,Pasture
3615,HerbaceousVegetation
3986,PermanentCrop
2880,HerbaceousVegetation
4018,AnnualCrop
2032,HerbaceousVegetation
2393,HerbaceousVegetation
3676,Residential
594,HerbaceousVegetation
3717,Industrial
173,HerbaceousVegetation
1208,HerbaceousVegetation
3847,Industrial
48,Highway
1278,PermanentCrop
1050,HerbaceousVegetation
3709,Highway
2290,HerbaceousVegetation
2495,HerbaceousVegetation
1074,HerbaceousVegetation
189,HerbaceousVegetation
1416,HerbaceousVegetation
239,Industrial
3602,HerbaceousVegetation
1011,Industrial
3845,Industrial
1363,HerbaceousVegetation
1954,Highway
3682,AnnualCrop
3772,Residential
3273,Highway
3375,Industrial
3103,HerbaceousVegetation
864,HerbaceousVegetation
3501,Highway
2915,PermanentCrop
1973,HerbaceousVegetation
3045,Industrial
1988,Residential
395,Highway
3130,HerbaceousVegetation
434,Industrial
3086,Industrial
1243,Highway
368,Industrial
2147,PermanentCrop
863,Industrial
4105,HerbaceousVegetation
2441,HerbaceousVegetation
1847,HerbaceousVegetation
283,Residential
2280,HerbaceousVegetation
3026,HerbaceousVegetation
396,HerbaceousVegetation
2404,PermanentCrop
2055,Highway
1007,HerbaceousVegetation
993,Residential
160,Residential
2995,PermanentCrop
964,HerbaceousVegetation
2587,PermanentCrop
3580,Industrial
2390,Industrial
1719,HerbaceousVegetation
2267,PermanentCrop
522,HerbaceousVegetation
3993,Highway
2429,HerbaceousVegetation
1470,HerbaceousVegetation
3062,HerbaceousVegetation
2530,HerbaceousVegetation
3362,HerbaceousVegetation
980,Industrial
1902,HerbaceousVegetation
2543,HerbaceousVegetation
2934,HerbaceousVegetation
2134,Industrial
3819,PermanentCrop
3112,River
861,HerbaceousVegetation
2917,PermanentCrop
3851,HerbaceousVegetation
588,Highway
310,HerbaceousVegetation
2086,PermanentCrop
802,HerbaceousVegetation
2857,HerbaceousVegetation
1796,HerbaceousVegetation
193,Industrial
2573,AnnualCrop
3129,HerbaceousVegetation
518,HerbaceousVegetation
3238,Highway
148,PermanentCrop
487,Highway
2170,Industrial
3860,HerbaceousVegetation
2609,PermanentCrop
1214,HerbaceousVegetation
2828,HerbaceousVegetation
2864,HerbaceousVegetation
1188,HerbaceousVegetation
2920,PermanentCrop
4162,Residential
1475,Highway
1132,HerbaceousVegetation
3421,PermanentCrop
3297,HerbaceousVegetation
210,HerbaceousVegetation
2004,Industrial
1944,Highway
2650,HerbaceousVegetation
1053,HerbaceousVegetation
3828,HerbaceousVegetation
857,HerbaceousVegetation
3359,HerbaceousVegetation
3631,Highway
1741,HerbaceousVegetation
2885,HerbaceousVegetation
3194,Industrial
1521,Industrial
2926,Highway
2443,AnnualCrop
642,Industrial
2531,PermanentCrop
329,AnnualCrop
606,HerbaceousVegetation
1207,PermanentCrop
2509,HerbaceousVegetation
67,HerbaceousVegetation
2505,PermanentCrop
3231,Residential
3461,Industrial
201,HerbaceousVegetation
771,PermanentCrop
2572,Industrial
4175,HerbaceousVegetation
1915,HerbaceousVegetation
1824,PermanentCrop
367,Residential
2336,Industrial
1964,HerbaceousVegetation
737,HerbaceousVegetation
3365,Highway
703,HerbaceousVegetation
271,HerbaceousVegetation
151,PermanentCrop
1006,HerbaceousVegetation
1013,HerbaceousVegetation
2163,AnnualCrop
3535,HerbaceousVegetation
429,Industrial
1280,Highway
3931,PermanentCrop
2497,Industrial
898,Highway
1100,HerbaceousVegetation
591,Industrial
3029,Residential
1938,Residential
1144,HerbaceousVegetation
2376,PermanentCrop
2561,HerbaceousVegetation
1479,Highway
2581,HerbaceousVegetation
3319,HerbaceousVegetation
2923,HerbaceousVegetation
3398,HerbaceousVegetation
1822,HerbaceousVegetation
1626,HerbaceousVegetation
150,HerbaceousVegetation
3850,Residential
2555,Industrial
1161,Highway
3395,HerbaceousVegetation
2037,HerbaceousVegetation
3120,HerbaceousVegetation
3728,PermanentCrop
4023,Highway
3823,Industrial
2704,HerbaceousVegetation
203,Highway
4097,HerbaceousVegetation
1607,HerbaceousVegetation
4130,HerbaceousVegetation
2649,Industrial
2674,HerbaceousVegetation
1620,Highway
2791,Industrial
2985,Industrial
510,Industrial
4056,PermanentCrop
3846,HerbaceousVegetation
1494,Highway
2149,PermanentCrop
2888,HerbaceousVegetation
3843,Residential
3522,Highway
2249,HerbaceousVegetation
2821,Highway
754,Highway
117,Highway
2516,HerbaceousVegetation
3221,HerbaceousVegetation
767,HerbaceousVegetation
4060,Residential
1001,HerbaceousVegetation
394,Residential
2326,HerbaceousVegetation
4045,Residential
3004,Industrial
3701,Residential
2217,Highway
2085,HerbaceousVegetation
64,HerbaceousVegetation
75,PermanentCrop
3261,AnnualCrop
2603,Highway
2123,PermanentCrop
2374,HerbaceousVegetation
631,HerbaceousVegetation
4207,HerbaceousVegetation
1182,Highway
292,HerbaceousVegetation
3970,Residential
3548,Highway
2893,PermanentCrop
2367,HerbaceousVegetation
3801,PermanentCrop
2172,Industrial
1316,PermanentCrop
4110,HerbaceousVegetation
4092,HerbaceousVegetation
2354,HerbaceousVegetation
240,HerbaceousVegetation
3900,HerbaceousVegetation
97,HerbaceousVegetation
1609,Residential
855,HerbaceousVegetation
2946,HerbaceousVegetation
2344,HerbaceousVegetation
2701,AnnualCrop
3647,HerbaceousVegetation
273,Residential
1142,PermanentCrop
1051,Industrial
2424,Highway
653,HerbaceousVegetation
1679,Highway
2826,Industrial
1721,HerbaceousVegetation
3984,HerbaceousVegetation
1242,Highway
3496,HerbaceousVegetation
1098,Industrial
1344,Highway
3043,Industrial
52,HerbaceousVegetation
4107,HerbaceousVegetation
4155,Highway
13,Industrial
2706,HerbaceousVegetation
291,Highway
1367,PermanentCrop
482,Highway
2964,PermanentCrop
4002,Highway
2439,Highway
1312,Residential
2418,HerbaceousVegetation
3507,Industrial
39,HerbaceousVegetation
990,HerbaceousVegetation
3571,Highway
603,AnnualCrop
2919,HerbaceousVegetation
1833,HerbaceousVegetation
