test_id,label
3092,SeaLake
1204,SeaLake
4047,SeaLake
3884,AnnualCrop
2974,HerbaceousVegetation
2419,HerbaceousVegetation
1913,SeaLake
3944,AnnualCrop
3464,River
2217,SeaLake
1900,SeaLake
1231,AnnualCrop
4212,River
2882,HerbaceousVegetation
3297,SeaLake
1171,Industrial
160,AnnualCrop
2903,Residential
3290,HerbaceousVegetation
558,AnnualCrop
4021,River
2478,HerbaceousVegetation
3977,AnnualCrop
1459,HerbaceousVegetation
2548,SeaLake
2574,AnnualCrop
2527,River
1731,AnnualCrop
2369,Industrial
3065,River
3795,SeaLake
3851,HerbaceousVegetation
3135,River
2101,Residential
3648,AnnualCrop
334,HerbaceousVegetation
2358,SeaLake
1753,HerbaceousVegetation
4065,SeaLake
2307,SeaLake
1752,HerbaceousVegetation
2846,HerbaceousVegetation
1388,AnnualCrop
3330,HerbaceousVegetation
3534,AnnualCrop
111,River
1129,HerbaceousVegetation
985,HerbaceousVegetation
756,SeaLake
3,SeaLake
4188,AnnualCrop
1585,AnnualCrop
1325,Industrial
3870,HerbaceousVegetation
3692,SeaLake
2536,Industrial
2695,AnnualCrop
3373,SeaLake
4211,AnnualCrop
1589,Industrial
4052,HerbaceousVegetation
1117,River
1436,HerbaceousVegetation
1364,HerbaceousVegetation
1671,HerbaceousVegetation
103,HerbaceousVegetation
1484,AnnualCrop
3130,HerbaceousVegetation
277,River
3334,SeaLake
1250,AnnualCrop
3322,SeaLake
575,River
2394,HerbaceousVegetation
1992,SeaLake
3467,HerbaceousVegetation
222,AnnualCrop
1741,SeaLake
533,HerbaceousVegetation
2064,SeaLake
2600,AnnualCrop
3329,SeaLake
3582,Industrial
488,HerbaceousVegetation
2874,AnnualCrop
4084,Industrial
1123,SeaLake
4182,HerbaceousVegetation
2123,AnnualCrop
3718,SeaLake
2991,AnnualCrop
2897,AnnualCrop
2254,SeaLake
3897,River
3619,HerbaceousVegetation
1559,AnnualCrop
2006,AnnualCrop
2504,HerbaceousVegetation
669,River
1972,HerbaceousVegetation
2512,SeaLake
3079,HerbaceousVegetation
179,SeaLake
208,HerbaceousVegetation
3665,SeaLake
1651,HerbaceousVegetation
1675,HerbaceousVegetation
2922,AnnualCrop
498,Residential
1824,River
3315,SeaLake
4127,SeaLake
2003,AnnualCrop
1273,HerbaceousVegetation
1411,SeaLake
2108,HerbaceousVegetation
467,HerbaceousVegetation
396,SeaLake
4031,River
