test_id,label
1676,HerbaceousVegetation
1131,River
3769,HerbaceousVegetation
2660,HerbaceousVegetation
2720,HerbaceousVegetation
1511,HerbaceousVegetation
2889,HerbaceousVegetation
178,HerbaceousVegetation
3232,HerbaceousVegetation
3459,HerbaceousVegetation
2171,River
1071,HerbaceousVegetation
1562,River
1921,River
4225,River
1463,Highway
3900,River
3879,HerbaceousVegetation
4132,HerbaceousVegetation
1958,HerbaceousVegetation
3260,HerbaceousVegetation
1185,Industrial
332,HerbaceousVegetation
3767,Forest
217,HerbaceousVegetation
3706,HerbaceousVegetation
3428,HerbaceousVegetation
3310,River
426,HerbaceousVegetation
1172,Forest
2772,HerbaceousVegetation
3545,HerbaceousVegetation
2127,HerbaceousVegetation
497,HerbaceousVegetation
2689,HerbaceousVegetation
3544,HerbaceousVegetation
211,Forest
996,River
2101,River
2591,HerbaceousVegetation
3924,River
2417,HerbaceousVegetation
2023,River
2773,HerbaceousVegetation
106,Forest
787,HerbaceousVegetation
3500,HerbaceousVegetation
3290,HerbaceousVegetation
3440,HerbaceousVegetation
640,HerbaceousVegetation
1992,River
34,HerbaceousVegetation
215,HerbaceousVegetation
645,Residential
419,HerbaceousVegetation
4117,HerbaceousVegetation
751,HerbaceousVegetation
231,HerbaceousVegetation
1458,River
3799,HerbaceousVegetation
1989,HerbaceousVegetation
1872,Forest
1589,Industrial
31,HerbaceousVegetation
3704,River
1948,HerbaceousVegetation
3579,River
3506,HerbaceousVegetation
1955,HerbaceousVegetation
1284,HerbaceousVegetation
1253,River
357,River
2144,HerbaceousVegetation
675,River
3361,HerbaceousVegetation
3602,River
171,River
2380,HerbaceousVegetation
12,HerbaceousVegetation
3994,Forest
992,River
3472,HerbaceousVegetation
1685,HerbaceousVegetation
3455,HerbaceousVegetation
964,SeaLake
1789,HerbaceousVegetation
3808,HerbaceousVegetation
955,River
2258,HerbaceousVegetation
2883,HerbaceousVegetation
1489,Forest
2590,HerbaceousVegetation
2759,River
2832,HerbaceousVegetation
739,HerbaceousVegetation
1014,HerbaceousVegetation
3375,HerbaceousVegetation
1334,HerbaceousVegetation
3904,HerbaceousVegetation
1611,HerbaceousVegetation
363,Industrial
3169,HerbaceousVegetation
2525,River
3507,HerbaceousVegetation
4169,HerbaceousVegetation
175,River
2177,Forest
157,HerbaceousVegetation
1114,Forest
1616,HerbaceousVegetation
583,SeaLake
2400,HerbaceousVegetation
4,HerbaceousVegetation
2085,HerbaceousVegetation
429,HerbaceousVegetation
1211,HerbaceousVegetation
2488,River
2665,River
997,HerbaceousVegetation
3265,HerbaceousVegetation
891,River
220,Forest
2555,HerbaceousVegetation
1556,HerbaceousVegetation
2953,HerbaceousVegetation
2637,HerbaceousVegetation
724,River
3385,Forest
1006,River
2510,HerbaceousVegetation
2729,Forest
1752,HerbaceousVegetation
2739,River
3613,HerbaceousVegetation
3139,HerbaceousVegetation
2644,River
3555,Forest
4053,SeaLake
3636,Forest
334,Forest
464,HerbaceousVegetation
3753,HerbaceousVegetation
3332,HerbaceousVegetation
3942,HerbaceousVegetation
805,HerbaceousVegetation
3804,HerbaceousVegetation
2537,River
3062,HerbaceousVegetation
1855,River
1113,River
1162,HerbaceousVegetation
3932,Forest
2815,River
388,HerbaceousVegetation
3399,Forest
916,Forest
782,River
943,HerbaceousVegetation
1719,HerbaceousVegetation
2631,River
2992,HerbaceousVegetation
2353,HerbaceousVegetation
1285,River
2874,HerbaceousVegetation
837,HerbaceousVegetation
620,River
2939,HerbaceousVegetation
1558,HerbaceousVegetation
3398,River
3068,SeaLake
1594,River
314,HerbaceousVegetation
4160,HerbaceousVegetation
3597,HerbaceousVegetation
2796,HerbaceousVegetation
1018,Forest
2287,Forest
466,River
1516,Forest
2697,HerbaceousVegetation
1485,HerbaceousVegetation
795,HerbaceousVegetation
1596,HerbaceousVegetation
3979,HerbaceousVegetation
2754,Forest
249,HerbaceousVegetation
298,River
1196,River
962,HerbaceousVegetation
2381,Forest
3319,River
575,HerbaceousVegetation
1592,SeaLake
2106,HerbaceousVegetation
1276,HerbaceousVegetation
1572,HerbaceousVegetation
561,Industrial
3130,Forest
1494,HerbaceousVegetation
737,River
4195,Forest
1021,HerbaceousVegetation
3436,Forest
4056,HerbaceousVegetation
2068,HerbaceousVegetation
2945,HerbaceousVegetation
2159,River
2633,HerbaceousVegetation
1362,HerbaceousVegetation
3967,SeaLake
2617,HerbaceousVegetation
109,HerbaceousVegetation
1068,HerbaceousVegetation
2444,SeaLake
1259,River
1089,HerbaceousVegetation
2160,SeaLake
1623,River
2978,HerbaceousVegetation
2500,HerbaceousVegetation
1110,HerbaceousVegetation
4201,Forest
3044,River
10,River
686,HerbaceousVegetation
671,HerbaceousVegetation
1260,Forest
947,Forest
1881,HerbaceousVegetation
2296,HerbaceousVegetation
3543,HerbaceousVegetation
196,HerbaceousVegetation
281,River
3564,River
2507,HerbaceousVegetation
732,SeaLake
2243,SeaLake
4227,Forest
2080,HerbaceousVegetation
542,HerbaceousVegetation
77,HerbaceousVegetation
476,Forest
514,River
3915,HerbaceousVegetation
3176,HerbaceousVegetation
1998,HerbaceousVegetation
3484,HerbaceousVegetation
1967,HerbaceousVegetation
4119,SeaLake
2468,Forest
3938,HerbaceousVegetation
137,Forest
3798,River
3652,HerbaceousVegetation
2499,River
2164,River
814,River
3714,River
2756,River
200,HerbaceousVegetation
2363,HerbaceousVegetation
3665,River
4153,Forest
1745,HerbaceousVegetation
1145,Forest
4065,River
4064,River
1856,River
4148,HerbaceousVegetation
2283,Forest
2162,HerbaceousVegetation
1579,River
505,HerbaceousVegetation
770,River
933,Industrial
1650,HerbaceousVegetation
403,Forest
2787,HerbaceousVegetation
2951,Forest
4121,River
2436,HerbaceousVegetation
447,SeaLake
3981,HerbaceousVegetation
1668,HerbaceousVegetation
1233,Forest
353,River
2369,River
3449,River
146,River
585,HerbaceousVegetation
510,HerbaceousVegetation
409,HerbaceousVegetation
3022,Forest
4043,River
3249,HerbaceousVegetation
3891,Forest
1188,Forest
1569,HerbaceousVegetation
354,HerbaceousVegetation
2990,SeaLake
2006,HerbaceousVegetation
3614,HerbaceousVegetation
2036,Forest
2793,HerbaceousVegetation
2768,River
3976,River
1577,Forest
4061,Forest
89,River
950,HerbaceousVegetation
1981,Forest
3358,River
2141,HerbaceousVegetation
2307,HerbaceousVegetation
2826,HerbaceousVegetation
1521,Industrial
745,HerbaceousVegetation
3071,River
1304,River
2274,HerbaceousVegetation
764,HerbaceousVegetation
2263,HerbaceousVegetation
1523,Forest
461,HerbaceousVegetation
3343,HerbaceousVegetation
498,SeaLake
3056,Forest
2095,HerbaceousVegetation
768,HerbaceousVegetation
1568,HerbaceousVegetation
